"       עלויות דגמי מכשיר ליסינג","","","","","","","","","","","           העלות לרכישת מכשיר סלולר, במקרה של עד 6 חודשים מהצטרפות למכרז","","","","","","           העלות לרכישת מכשיר סלולר, בהתאם ליתרת החודשים עד לסיום תקופת הליסינג     ","","","","","","","","","","","","","","","","",""
"","יצרן","דגם מכשיר","","","","","שיוך מכשיר למדרגת מחיר לחישוב השתתפות עצמית","Test","","   הערות","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2","1"
"8","SAMSUNG","Galaxy S25 Ultra","512"," ₪97.84"," ₪1,091.44"," ₪3,898.00","עד 5,000 ₪","","01/07/2026",""," ₪3,898.00"," ₪3,800.16"," ₪3,702.32"," ₪3,604.48"," ₪3,506.64"," ₪3,408.80"," ₪2,653.48"," ₪2,566.70"," ₪2,479.92"," ₪2,393.14"," ₪2,306.36"," ₪2,219.58"," ₪2,132.80"," ₪2,046.02"," ₪1,959.24"," ₪1,872.46"," ₪1,785.68"," ₪1,698.90"," ₪1,612.12"," ₪1,525.34"," ₪1,438.56"," ₪1,351.78"," ₪1,265.00"," ₪1,178.22"
"9","SAMSUNG","Galaxy S25 Ultra","1024"," ₪123.83"," ₪1,537.11"," ₪5,489.67","מעל 5,000 ₪","","01/07/2026",""," ₪5,489.67"," ₪5,365.84"," ₪5,242.01"," ₪5,118.18"," ₪4,994.35"," ₪4,870.52"," ₪3,566.97"," ₪3,454.20"," ₪3,341.43"," ₪3,228.66"," ₪3,115.89"," ₪3,003.12"," ₪2,890.35"," ₪2,777.58"," ₪2,664.81"," ₪2,552.04"," ₪2,439.27"," ₪2,326.50"," ₪2,213.73"," ₪2,100.96"," ₪1,988.19"," ₪1,875.42"," ₪1,762.65"," ₪1,649.88"
"10","SAMSUNG","Galaxy Z Flip 7","256"," ₪91.89"," ₪989.52"," ₪3,534.00","עד 5,000 ₪","","01/07/2026",""," ₪3,534.00"," ₪3,442.11"," ₪3,350.22"," ₪3,258.33"," ₪3,166.44"," ₪3,074.55"," ₪2,444.46"," ₪2,363.63"," ₪2,282.80"," ₪2,201.97"," ₪2,121.14"," ₪2,040.31"," ₪1,959.48"," ₪1,878.65"," ₪1,797.82"," ₪1,716.99"," ₪1,636.16"," ₪1,555.33"," ₪1,474.50"," ₪1,393.67"," ₪1,312.84"," ₪1,232.01"," ₪1,151.18"," ₪1,070.35"
"11","SAMSUNG","Galaxy Z Flip 7","512"," ₪99.01"," ₪1,111.60"," ₪3,970.00","עד 5,000 ₪","","01/07/2026",""," ₪3,970.00"," ₪3,870.99"," ₪3,771.98"," ₪3,672.97"," ₪3,573.96"," ₪3,474.95"," ₪2,694.70"," ₪2,606.75"," ₪2,518.80"," ₪2,430.85"," ₪2,342.90"," ₪2,254.95"," ₪2,167.00"," ₪2,079.05"," ₪1,991.10"," ₪1,903.15"," ₪1,815.20"," ₪1,727.25"," ₪1,639.30"," ₪1,551.35"," ₪1,463.40"," ₪1,375.45"," ₪1,287.50"," ₪1,199.55"
"12","SAMSUNG","Galaxy Z Fold 7","256"," ₪142.02"," ₪1,848.93"," ₪6,603.33","מעל 5,000 ₪","","01/07/2026",""," ₪6,603.33"," ₪6,461.31"," ₪6,319.29"," ₪6,177.27"," ₪6,035.25"," ₪5,893.23"," ₪4,206.21"," ₪4,075.25"," ₪3,944.29"," ₪3,813.33"," ₪3,682.37"," ₪3,551.41"," ₪3,420.45"," ₪3,289.49"," ₪3,158.53"," ₪3,027.57"," ₪2,896.61"," ₪2,765.65"," ₪2,634.69"," ₪2,503.73"," ₪2,372.77"," ₪2,241.81"," ₪2,110.85"," ₪1,979.89"
"13","SAMSUNG","Galaxy Z Fold 7","512"," ₪146.39"," ₪1,923.74"," ₪6,870.50","מעל 5,000 ₪","","01/07/2026",""," ₪6,870.50"," ₪6,724.11"," ₪6,577.72"," ₪6,431.33"," ₪6,284.94"," ₪6,138.55"," ₪4,359.68"," ₪4,224.35"," ₪4,089.02"," ₪3,953.69"," ₪3,818.36"," ₪3,683.03"," ₪3,547.70"," ₪3,412.37"," ₪3,277.04"," ₪3,141.71"," ₪3,006.38"," ₪2,871.05"," ₪2,735.72"," ₪2,600.39"," ₪2,465.06"," ₪2,329.73"," ₪2,194.40"," ₪2,059.07"
"14","SAMSUNG","Galaxy S26","256"," ₪78.92"," ₪767.06"," ₪2,739.50","עד 3,500 ₪","","01/07/2026",""," ₪2,739.50"," ₪2,660.58"," ₪2,581.66"," ₪2,502.74"," ₪2,423.82"," ₪2,344.90"," ₪1,988.54"," ₪1,920.68"," ₪1,852.82"," ₪1,784.96"," ₪1,717.10"," ₪1,649.24"," ₪1,581.38"," ₪1,513.52"," ₪1,445.66"," ₪1,377.80"," ₪1,309.94"," ₪1,242.08"," ₪1,174.22"," ₪1,106.36"," ₪1,038.50"," ₪970.64"," ₪902.78"," ₪834.92"
"15","SAMSUNG","Galaxy S26","512"," ₪86.45"," ₪896.14"," ₪3,200.50","עד 3,500 ₪","","01/07/2026",""," ₪3,200.50"," ₪3,114.05"," ₪3,027.60"," ₪2,941.15"," ₪2,854.70"," ₪2,768.25"," ₪2,253.16"," ₪2,177.77"," ₪2,102.38"," ₪2,026.99"," ₪1,951.60"," ₪1,876.21"," ₪1,800.82"," ₪1,725.43"," ₪1,650.04"," ₪1,574.65"," ₪1,499.26"," ₪1,423.87"," ₪1,348.48"," ₪1,273.09"," ₪1,197.70"," ₪1,122.31"," ₪1,046.92"," ₪971.53"
"16","SAMSUNG","Galaxy S26 Plus","256"," ₪87.41"," ₪912.52"," ₪3,259.00","עד 3,500 ₪","","01/07/2026",""," ₪3,259.00"," ₪3,171.59"," ₪3,084.18"," ₪2,996.77"," ₪2,909.36"," ₪2,821.95"," ₪2,286.82"," ₪2,210.47"," ₪2,134.12"," ₪2,057.77"," ₪1,981.42"," ₪1,905.07"," ₪1,828.72"," ₪1,752.37"," ₪1,676.02"," ₪1,599.67"," ₪1,523.32"," ₪1,446.97"," ₪1,370.62"," ₪1,294.27"," ₪1,217.92"," ₪1,141.57"," ₪1,065.22"," ₪988.87"
"17","SAMSUNG","Galaxy S26 Plus","512"," ₪98.19"," ₪1,097.32"," ₪3,919.00","עד 5,000 ₪","","01/07/2026",""," ₪3,919.00"," ₪3,820.81"," ₪3,722.62"," ₪3,624.43"," ₪3,526.24"," ₪3,428.05"," ₪2,665.66"," ₪2,578.53"," ₪2,491.40"," ₪2,404.27"," ₪2,317.14"," ₪2,230.01"," ₪2,142.88"," ₪2,055.75"," ₪1,968.62"," ₪1,881.49"," ₪1,794.36"," ₪1,707.23"," ₪1,620.10"," ₪1,532.97"," ₪1,445.84"," ₪1,358.71"," ₪1,271.58"," ₪1,184.45"
"18","SAMSUNG","Galaxy S26 Ultra","256"," ₪97.16"," ₪1,079.82"," ₪3,856.50","עד 5,000 ₪","","01/07/2026",""," ₪3,856.50"," ₪3,759.34"," ₪3,662.18"," ₪3,565.02"," ₪3,467.86"," ₪3,370.70"," ₪2,629.62"," ₪2,543.52"," ₪2,457.42"," ₪2,371.32"," ₪2,285.22"," ₪2,199.12"," ₪2,113.02"," ₪2,026.92"," ₪1,940.82"," ₪1,854.72"," ₪1,768.62"," ₪1,682.52"," ₪1,596.42"," ₪1,510.32"," ₪1,424.22"," ₪1,338.12"," ₪1,252.02"," ₪1,165.92"
"19","SAMSUNG","Galaxy S26 Ultra","512"," ₪106.76"," ₪1,244.32"," ₪4,444.00","עד 5,000 ₪","","01/07/2026",""," ₪4,444.00"," ₪4,337.24"," ₪4,230.48"," ₪4,123.72"," ₪4,016.96"," ₪3,910.20"," ₪2,966.92"," ₪2,871.22"," ₪2,775.52"," ₪2,679.82"," ₪2,584.12"," ₪2,488.42"," ₪2,392.72"," ₪2,297.02"," ₪2,201.32"," ₪2,105.62"," ₪2,009.92"," ₪1,914.22"," ₪1,818.52"," ₪1,722.82"," ₪1,627.12"," ₪1,531.42"," ₪1,435.72"," ₪1,340.02"
"20","SAMSUNG","Galaxy S26 Ultra","1024"," ₪121.98"," ₪1,505.19"," ₪5,375.67","מעל 5,000 ₪","","01/07/2026",""," ₪5,375.67"," ₪5,253.69"," ₪5,131.71"," ₪5,009.73"," ₪4,887.75"," ₪4,765.77"," ₪3,501.75"," ₪3,390.83"," ₪3,279.91"," ₪3,168.99"," ₪3,058.07"," ₪2,947.15"," ₪2,836.23"," ₪2,725.31"," ₪2,614.39"," ₪2,503.47"," ₪2,392.55"," ₪2,281.63"," ₪2,170.71"," ₪2,059.79"," ₪1,948.87"," ₪1,837.95"," ₪1,727.03"," ₪1,616.11"
"21","SAMSUNG","Galaxy Z Flip 8","256"," ₪98.31"," ₪1,099.49"," ₪3,926.75","עד 5,000 ₪","","19/08/2026",""," ₪3,926.75"," ₪3,828.44"," ₪3,730.13"," ₪3,631.82"," ₪3,533.51"," ₪3,435.20"," ₪2,669.99"," ₪2,582.74"," ₪2,495.49"," ₪2,408.24"," ₪2,320.99"," ₪2,233.74"," ₪2,146.49"," ₪2,059.24"," ₪1,971.99"," ₪1,884.74"," ₪1,797.49"," ₪1,710.24"," ₪1,622.99"," ₪1,535.74"," ₪1,448.49"," ₪1,361.24"," ₪1,273.99"," ₪1,186.74"
"22","SAMSUNG","Galaxy Z Flip 8","512"," ₪110.35"," ₪1,305.99"," ₪4,664.25","עד 5,000 ₪","","19/08/2026",""," ₪4,664.25"," ₪4,553.90"," ₪4,443.55"," ₪4,333.20"," ₪4,222.85"," ₪4,112.50"," ₪3,093.21"," ₪2,993.92"," ₪2,894.63"," ₪2,795.34"," ₪2,696.05"," ₪2,596.76"," ₪2,497.47"," ₪2,398.18"," ₪2,298.89"," ₪2,199.60"," ₪2,100.31"," ₪2,001.02"," ₪1,901.73"," ₪1,802.44"," ₪1,703.15"," ₪1,603.86"," ₪1,504.57"," ₪1,405.28"
"23","SAMSUNG","Galaxy Z Fold 8","256"," ₪131.99"," ₪1,676.99"," ₪5,989.25","מעל 5,000 ₪","","19/08/2026",""," ₪5,989.25"," ₪5,857.26"," ₪5,725.27"," ₪5,593.28"," ₪5,461.29"," ₪5,329.30"," ₪3,853.73"," ₪3,732.80"," ₪3,611.87"," ₪3,490.94"," ₪3,370.01"," ₪3,249.08"," ₪3,128.15"," ₪3,007.22"," ₪2,886.29"," ₪2,765.36"," ₪2,644.43"," ₪2,523.50"," ₪2,402.57"," ₪2,281.64"," ₪2,160.71"," ₪2,039.78"," ₪1,918.85"," ₪1,797.92"
"24","SAMSUNG","Galaxy Z Fold 8","512"," ₪144.45"," ₪1,890.49"," ₪6,751.75","מעל 5,000 ₪","","19/08/2026",""," ₪6,751.75"," ₪6,607.30"," ₪6,462.85"," ₪6,318.40"," ₪6,173.95"," ₪6,029.50"," ₪4,291.51"," ₪4,158.12"," ₪4,024.73"," ₪3,891.34"," ₪3,757.95"," ₪3,624.56"," ₪3,491.17"," ₪3,357.78"," ₪3,224.39"," ₪3,091.00"," ₪2,957.61"," ₪2,824.22"," ₪2,690.83"," ₪2,557.44"," ₪2,424.05"," ₪2,290.66"," ₪2,157.27"," ₪2,023.88"
"25","SAMSUNG","Galaxy Z Fold Ultra 8","256"," ₪145.06"," ₪1,900.99"," ₪6,789.25","מעל 5,000 ₪","","19/08/2026",""," ₪6,789.25"," ₪6,644.19"," ₪6,499.13"," ₪6,354.07"," ₪6,209.01"," ₪6,063.95"," ₪4,312.99"," ₪4,178.99"," ₪4,044.99"," ₪3,910.99"," ₪3,776.99"," ₪3,642.99"," ₪3,508.99"," ₪3,374.99"," ₪3,240.99"," ₪3,106.99"," ₪2,972.99"," ₪2,838.99"," ₪2,704.99"," ₪2,570.99"," ₪2,436.99"," ₪2,302.99"," ₪2,168.99"," ₪2,034.99"
"26","SAMSUNG","Galaxy Z Fold Ultra 8","512"," ₪156.49"," ₪2,096.99"," ₪7,489.25","מעל 5,000 ₪","","19/08/2026",""," ₪7,489.25"," ₪7,332.76"," ₪7,176.27"," ₪7,019.78"," ₪6,863.29"," ₪6,706.80"," ₪4,714.73"," ₪4,569.30"," ₪4,423.87"," ₪4,278.44"," ₪4,133.01"," ₪3,987.58"," ₪3,842.15"," ₪3,696.72"," ₪3,551.29"," ₪3,405.86"," ₪3,260.43"," ₪3,115.00"," ₪2,969.57"," ₪2,824.14"," ₪2,678.71"," ₪2,533.28"," ₪2,387.85"," ₪2,242.42"
